"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"172","Mobiliario institucional, escolar y educativo y accesorios",130,80,110,0.807692307692308,0.0615384615384615,117.159763313609,1850.81191760033,0.00405485986881336,983.985840456972
"173","Organizaciones laborales",259,43,83,0.849420849420849,0.212355212355212,422.623395596369,1545.43678754423,0.0385501780850618,984.030091570302
"174","Resinas y colofonias y otros materiales derivados de resina",66,38,35,0.712121212121212,0.0606060606060606,840.220385674931,1175.80154586774,0.0699300699300699,1008.01096577134
"175","Juguetes y juegos",46,27,31,0.695652173913043,0,425.330812854442,1591.97827963308,0.021256038647343,1008.65454624376
"176","Escritura y traducciones",87,37,65,0.735632183908046,0.114942528735632,202.140309155767,1859.86732119006,0.00882117080994387,1031.00381517291
"177","Sistemas de control neumático, hidráulico o eléctrico",23,13,22,0.826086956521739,0,472.589792060492,1638.81237652816,0.00395256916996047,1055.70108429433
"178","Equipo, accesorios y suministros de arte y manualidades",68,44,54,0.676470588235294,0,242.214532871972,1875.57179407494,0.009657594381036,1058.89316347345
"179","Maletas, bolsos de mano, mochilas y estuches",31,23,30,0.806451612903226,0.032258064516129,343.392299687825,1831.53840877121,0.0021505376344086,1087.46535422952
"180","Muebles y accesorios para merchandising",23,12,18,0.739130434782609,0,737.240075614367,1453.01662005674,0.0316205533596838,1095.12834783555
"181","Artes interpretativas",21,15,19,0.857142857142857,0,566.893424036281,1674.43487273934,0.00952380952380952,1120.66414838781
"182","Entrega de servicios de tecnología de información",654,242,408,0.752293577981651,0.0672782874617737,49.5188396038493,2211.68827187646,0.00342807367548506,1130.60355574015
"183","Ciencia médica, investigación y experimentación",469,154,260,0.701492537313433,0.121535181236674,114.88400216402,2152.73257910841,0.00937619594336012,1133.80829063622
"184","Material electrónico de referencia",44,27,28,0.75,0,516.528925619835,1814.38336683368,0.0295983086680761,1165.45614622676
"185","Compuestos y mezclas",165,74,115,0.842424242424242,0.0909090909090909,139.944903581267,2225.15711088025,0.00798226164079823,1182.55100723076
"186","Alimentos preparados y conservados",3442,329,907,0.830331202789076,0.0581057524694945,262.819644943803,2114.49938194648,0.0259989891861834,1188.65951344514
"187","Publicidad",2209,350,1137,0.789497510185604,0.0362154821186057,24.1060839837686,2384.0578037641,0.00195880160870221,1204.08194387394
"188","Productos de papel",1221,260,572,0.837018837018837,0.0515970515970516,67.0158655416641,2399.92908951476,0.00588740752675179,1233.47247752821
"189","Calzado",134,54,87,0.791044776119403,0.00746268656716418,179.327244375139,2310.97343773466,0.0105487599596005,1245.1503410549
"190","Fruta fresca",343,27,46,0.973760932944606,0.0349854227405248,1808.85515388996,977.078509493645,0.178490443796566,1392.9668316918
"191","Suministros y accesorios de laboratorio",5857,431,931,0.816458938022879,0.0752945193785214,178.945593908242,2620.26132451759,0.0177268501284251,1399.60345921292
"192","Ayuda para personas con desafíos físicos para vivir independiente",38,13,25,0.973684210526316,0.157894736842105,955.678670360111,1853.5111132615,0.0711237553342817,1404.59489181081
